PAY_YEAR,DEPARTMENT_NO,DEPARTMENT_TITLE,JOB_CLASS_PGRADE,JOB_TITLE,EMPLOYMENT_TYPE,JOB_STATUS,REGULAR_PAY,OVERTIME_PAY,ALL_OTHER_PAY,TOTAL_PAY,CITY_RETIREMENT_CONTRIBUTIONS,BENEFIT_PAY,GENDER,ETHNICITY,EMPLOYEE_NO
2023,38,FIRE,2112-3,FIREFIGHTER III,FULL_TIME,ACTIVE,35295.54,0,357,35652.54,0,6222.37,MALE,HISPANIC,191963
2023,4,AIRPORTS,1461-3,COMMUNICATIONS INFORMATION REPRESENTATIVE III,FULL_TIME,ACTIVE,23316.33,10525.94,645.43,34487.7,6915.62,6485.08,FEMALE,BLACK,191964
2023,38,FIRE,2112-3,FIREFIGHTER III,FULL_TIME,ACTIVE,28945.6,6777.04,537,36259.64,13561.01,5456.15,MALE,ASIAN,191965
2023,38,FIRE,2112-3,FIREFIGHTER III,FULL_TIME,ACTIVE,35198.12,5412.29,357,40967.41,16490.32,5456.15,MALE,HISPANIC,191966
2023,70,POLICE,2223-1,POLICE DETECTIVE I,FULL_TIME,ACTIVE,35103.45,11903.06,1650,48656.51,16445.97,6222.37,MALE,HISPANIC,191967
2023,38,FIRE,5127-0,FIREBOAT PILOT,FULL_TIME,ACTIVE,44031.01,56437.94,7498.31,107967.26,20628.53,6222.37,MALE,CAUCASIAN,191968
2023,70,POLICE,2214-3,POLICE OFFICER III,FULL_TIME,ACTIVE,15909.41,0,0,15909.41,7453.56,6222.37,MALE,CAUCASIAN,191969
2023,86,PUBLIC WORKS - STREET SERVICES,4150-1,STREET SERVICES WORKER I,FULL_TIME,ACTIVE,15072.19,2419.16,1124.01,18615.36,4470.41,6485.08,MALE,HISPANIC,191970
2023,88,RECREATION AND PARKS,0848-B,OBSERVATORY LECTURER,PART_TIME,ACTIVE,3149.25,0,0,3149.25,0,0,MALE,CAUCASIAN,191971
2023,70,POLICE,2207-2,POLICE SERVICE REPRESENTATIVE II,FULL_TIME,ACTIVE,24753.71,0,245,24998.71,7341.95,2644.81,FEMALE,HISPANIC,191972
2023,4,AIRPORTS,3225-2,AIRPORT POLICE OFFICER II,FULL_TIME,ACTIVE,30204.58,0,1089.55,31294.13,8958.68,6579.72,FEMALE,BLACK,191973
2023,76,PUBLIC WORKS - CONTRACT ADMINISTRATION,1539-0,MANAGEMENT ASSISTANT,FULL_TIME,ACTIVE,19153.87,0,0,19153.87,5681.04,2644.81,MALE,TWO OR MORE RACES,191974
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,26564.36,2063.64,2840,31468,12445.4,6222.37,MALE,ASIAN,191975
2023,88,RECREATION AND PARKS,2498-0,RECREATION ASSISTANT,PART_TIME,ACTIVE,1018.69,0,26,1044.69,0,0,FEMALE,OTHER,191976
2023,38,FIRE,5125-0,FIREBOAT MATE,FULL_TIME,ACTIVE,40752.64,48262.81,717,89732.45,19092.61,6222.37,MALE,ASIAN,191977
2023,88,RECREATION AND PARKS,2498-0,RECREATION ASSISTANT,PART_TIME,ACTIVE,5848.61,0,150.25,5998.86,0,2581.67,FEMALE,HISPANIC,191978
2023,88,RECREATION AND PARKS,3141-0,GARDENER CARETAKER,FULL_TIME,ACTIVE,12696.8,0,200,12896.8,3765.87,2550.17,FEMALE,HISPANIC,191979
2023,70,POLICE,2214-3,POLICE OFFICER III,FULL_TIME,ACTIVE,34963.79,8475.89,1330,44769.68,16380.54,6222.37,MALE,CAUCASIAN,191980
2023,4,AIRPORTS,1223-0,ACCOUNTING CLERK,FULL_TIME,ACTIVE,19594.4,0,0,19594.4,5811.7,6579.72,FEMALE,BLACK,191981
2023,88,RECREATION AND PARKS,2498-0,RECREATION ASSISTANT,PART_TIME,ACTIVE,4985.49,0,115.75,5101.24,0,2581.67,MALE,HISPANIC,191982
2023,12,CITY ATTORNEY,0576-0,PARALEGAL I,FULL_TIME,ACTIVE,21152.06,0,520,21672.06,6273.7,6579.72,FEMALE,CAUCASIAN,191983
2023,70,POLICE,2223-2,POLICE DETECTIVE II,FULL_TIME,ACTIVE,22665.6,6199.08,1160,30024.68,10618.83,3555.64,MALE,BLACK,191984
2023,88,RECREATION AND PARKS,2498-0,RECREATION ASSISTANT,PART_TIME,ACTIVE,3201.36,0,101.61,3302.97,0,0,FEMALE,OTHER,191985
2023,30,CULTURAL AFFAIRS,2440-0,GALLERY ATTENDANT (PART TIME),PART_TIME,ACTIVE,4945.07,0,0,4945.07,0,0,FEMALE,HISPANIC,191986
2023,70,POLICE,2227-1,POLICE SERGEANT I,FULL_TIME,ACTIVE,40662.05,4744.17,6079.89,51486.11,19050.17,6222.37,MALE,CAUCASIAN,191987
2023,82,PUBLIC WORKS - SANITATION,1539-0,MANAGEMENT ASSISTANT,FULL_TIME,ACTIVE,22009.85,0,80,22089.85,6528.12,6579.72,MALE,BLACK,191988
2023,4,AIRPORTS,3112-0,MAINTENANCE LABORER,FULL_TIME,NOT_ACTIVE,0,0,200,200,0,18.36,FEMALE,HISPANIC,191989
2023,88,RECREATION AND PARKS,2498-0,RECREATION ASSISTANT,PART_TIME,ACTIVE,5352.18,0,381.75,5733.93,0,0,MALE,OTHER,191990
2023,38,FIRE,2112-3,FIREFIGHTER III,FULL_TIME,ACTIVE,41072.8,30017.48,1437.91,72528.19,19242.61,6094.76,MALE,BLACK,191991
2023,40,GENERAL SERVICES,1837-0,SENIOR STOREKEEPER,FULL_TIME,ACTIVE,22692,0,3870,26562,6730.45,6579.72,FEMALE,FILIPINO,191992
2023,76,PUBLIC WORKS - CONTRACT ADMINISTRATION,7291-0,CONSTRUCTION INSPECTOR,FULL_TIME,ACTIVE,28265.68,0,2032.62,30298.3,8383.6,4910.43,MALE,OTHER,191993
2023,12,CITY ATTORNEY,0586-0,LEGAL CLERK II,FULL_TIME,ACTIVE,13258.24,0,0,13258.24,3932.39,1511.32,FEMALE,NA,191994
2023,70,POLICE,2223-1,POLICE DETECTIVE I,FULL_TIME,ACTIVE,43621.4,22239.35,5613.4,71474.15,20436.63,6222.37,MALE,CAUCASIAN,191995
2023,70,POLICE,2227-2,POLICE SERGEANT II,FULL_TIME,ACTIVE,41325.32,0,2030,43355.32,19360.91,6222.37,MALE,FILIPINO,191996
2023,8,BUILDING AND SAFETY,7957-2,STRUCTURAL ENGINEERING ASSOCIATE II,FULL_TIME,ACTIVE,32791.2,0,0,32791.2,9725.87,2644.81,FEMALE,HISPANIC,191997
2023,82,PUBLIC WORKS - SANITATION,3112-6,MAINTENANCE LABORER,FULL_TIME,ACTIVE,17890.4,0,795,18685.4,5306.29,6579.72,MALE,HISPANIC,191998
2023,28,COUNCIL,0183-0,COUNCIL AIDE IV,FULL_TIME,ACTIVE,12620.4,0,0,12620.4,3743.21,2468.36,FEMALE,CAUCASIAN,191999
2023,4,AIRPORTS,3156-A,CUSTODIAN - AIRPORTS,FULL_TIME,ACTIVE,0,0,200,200,0,0,MALE,BLACK,192000
2023,88,RECREATION AND PARKS,2406-0,MARITIME MUSEUM DIRECTOR,FULL_TIME,ACTIVE,28985.01,115.13,2456.18,31556.32,8596.95,4910.43,FEMALE,CAUCASIAN,192001
2023,88,RECREATION AND PARKS,3145-0,PARK MAINTENANCE SUPERVISOR,PART_TIME,ACTIVE,12349.12,0,0,12349.12,0,0,MALE,CAUCASIAN,192002
2023,12,CITY ATTORNEY,0582-0,LEGAL SECRETARY III,FULL_TIME,ACTIVE,24236,0,656.7,24892.7,7188.4,185.5,FEMALE,CAUCASIAN,192003
2023,88,RECREATION AND PARKS,3865-0,ELECTRICIAN SUPERVISOR,FULL_TIME,ACTIVE,28240.27,0,2409.12,30649.39,8376.06,5639.76,MALE,HISPANIC,192004
2023,40,GENERAL SERVICES,3531-6,GARAGE ATTENDANT,FULL_TIME,ACTIVE,13237.3,1342.61,70,14649.91,3926.18,2550.17,MALE,NA,192005
2023,70,POLICE,2214-3,POLICE OFFICER III,FULL_TIME,ACTIVE,34198.52,7731.85,2471.1,44401.47,16022.01,5629.05,MALE,CAUCASIAN,192006
2023,88,RECREATION AND PARKS,2401-0,MUSEUM GUIDE,PART_TIME,ACTIVE,3619.43,0,187.67,3807.1,0,0,MALE,OTHER,192007
2023,88,RECREATION AND PARKS,2498-0,RECREATION ASSISTANT,PART_TIME,ACTIVE,88.16,0,0,88.16,0,0,FEMALE,OTHER,192008
2023,30,CULTURAL AFFAIRS,2452-D,ART INSTRUCTOR,PART_TIME,ACTIVE,532.19,0,0,532.19,0,0,MALE,ASIAN,192009
2023,12,CITY ATTORNEY,0598-0,ASSISTANT CITY ATTORNEY,FULL_TIME,ACTIVE,75899.71,0,0,75899.71,22511.85,5613.02,MALE,CAUCASIAN,192010
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,23602.59,10512.98,2142,36257.57,11057.81,2640.68,MALE,CAUCASIAN,192011
2023,88,RECREATION AND PARKS,2498-0,RECREATION ASSISTANT,PART_TIME,ACTIVE,4424.07,0,0,4424.07,0,0,FEMALE,OTHER,192012
2023,40,GENERAL SERVICES,3866-0,ELEVATOR MECHANIC,FULL_TIME,NOT_ACTIVE,38034.04,155.1,2195.86,40385,11280.9,6485.08,MALE,HISPANIC,192013
2023,40,GENERAL SERVICES,7967-2,MATERIALS TESTING ENGINEERING ASSOCIATE II,FULL_TIME,ACTIVE,29422.4,812.49,150,30384.89,8726.68,2644.81,MALE,ASIAN,192014
2023,38,FIRE,2128-2,FIRE INSPECTOR II,FULL_TIME,ACTIVE,42790.9,26328.07,7738.13,76857.1,20047.54,5872.37,MALE,HISPANIC,192015
2023,28,COUNCIL,0186-0,COUNCIL AIDE VII,FULL_TIME,ACTIVE,37305.78,0,0,37305.78,11064.89,2178.33,FEMALE,BLACK,192016
2023,12,CITY ATTORNEY,0596-0,DEPUTY CITY ATTORNEY III,FULL_TIME,ACTIVE,60113.18,0,0,60113.18,17829.57,4319.63,FEMALE,CAUCASIAN,192017
2023,22,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,1517-2,AUDITOR II,FULL_TIME,ACTIVE,19942.45,0,48,19990.45,5914.93,6579.72,MALE,ASIAN,192018
2023,38,FIRE,2112-2,FIREFIGHTER II,FULL_TIME,ACTIVE,22939.2,4811.99,717,28468.19,10747.02,6222.37,MALE,HISPANIC,192019
2023,38,FIRE,2112-3,FIREFIGHTER III,FULL_TIME,ACTIVE,31672.8,15483.09,357,47512.89,14838.71,6222.37,MALE,HISPANIC,192020
2023,43,LOS ANGELES HOUSING,1571-2,FINANCE DEVELOPMENT OFFICER II,FULL_TIME,ACTIVE,42376.7,0,2052.67,44429.37,12568.93,2672.11,FEMALE,HISPANIC,192021
2023,70,POLICE,2223-1,POLICE DETECTIVE I,FULL_TIME,ACTIVE,36336.26,4075.06,1330,41741.32,17023.54,5629.05,MALE,CAUCASIAN,192022
2023,44,LIBRARY,1101-X,OFFICE TRAINEE ADMIN CLERK,FULL_TIME,NOT_ACTIVE,1562.4,0,0,1562.4,463.41,0,UNKNOWN,NA,192023
2023,70,POLICE,1152-2,PRINCIPAL CLERK POLICE II,FULL_TIME,ACTIVE,26550.1,144.38,1758.84,28453.32,7874.76,185.5,FEMALE,HISPANIC,192024
2023,44,LIBRARY,1596-0,SYSTEMS ANALYST,FULL_TIME,ACTIVE,5913.6,0,0,5913.6,1753.97,0,MALE,NA,192025
2023,94,TRANSPORTATION,3214-2,TRAFFIC OFFICER II,FULL_TIME,ACTIVE,18097.84,48.82,569.28,18715.94,5367.82,2644.81,FEMALE,BLACK,192026
2023,94,TRANSPORTATION,1523-2,SENIOR ACCOUNTANT II,FULL_TIME,ACTIVE,27373.27,0,0,27373.27,8118.91,2272.97,FEMALE,ASIAN,192027
2023,35,EMERGENCY MANAGEMENT,1702-1,EMERGENCY MANAGEMENT COORDINATOR I,FULL_TIME,ACTIVE,36496.58,0,3127.96,39624.54,10824.89,2644.81,FEMALE,BLACK,192028
2023,88,RECREATION AND PARKS,3141-0,GARDENER CARETAKER,FULL_TIME,ACTIVE,17577.6,0,200,17777.6,5213.52,6485.08,MALE,CAUCASIAN,192029
2023,28,COUNCIL,0186-0,COUNCIL AIDE VII,FULL_TIME,NOT_ACTIVE,14569.98,0,0,14569.98,4321.46,1133.49,FEMALE,OTHER,192030
2023,2,AGING,1112-B,COMMUNITY AND ADMINISTRATIVE SUPPORT WORKER I,PART_TIME,ACTIVE,256.64,0,4635.56,4892.2,0,0,FEMALE,BLACK,192031
2023,82,PUBLIC WORKS - SANITATION,3580-2,REFUSE COLLECTION TRUCK OPERATOR II,FULL_TIME,ACTIVE,17401.71,1997.94,200,19599.65,5161.35,5104.12,MALE,BLACK,192032
2023,38,FIRE,2112-3,FIREFIGHTER III,FULL_TIME,ACTIVE,36281.6,24769.15,537,61587.75,16997.93,6222.37,MALE,HISPANIC,192033
2023,14,CITY CLERK,1223-0,ACCOUNTING CLERK,PART_TIME,ACTIVE,10236.44,0,0,10236.44,0,0,FEMALE,CAUCASIAN,192034
2023,78,PUBLIC WORKS - ENGINEERING,7237-0,CIVIL ENGINEER,FULL_TIME,ACTIVE,39661.6,0,1909,41570.6,11763.63,4319.63,FEMALE,ASIAN,192035
2023,88,RECREATION AND PARKS,2415-0,SPECIAL PROGRAM ASSISTANT II,PART_TIME,ACTIVE,3383.62,0,162.4,3546.02,0,0,MALE,HISPANIC,192036
2023,70,POLICE,2227-1,POLICE SERGEANT I,FULL_TIME,ACTIVE,36465.7,6055.77,1720.74,44242.21,17084.18,2640.68,FEMALE,HISPANIC,192037
2023,88,RECREATION AND PARKS,2415-0,SPECIAL PROGRAM ASSISTANT II,PART_TIME,ACTIVE,3946.68,0,100,4046.68,0,1821.55,FEMALE,OTHER,192038
2023,94,TRANSPORTATION,1358-0,ADMINISTRATIVE CLERK,FULL_TIME,ACTIVE,13352.69,0,0,13352.69,3960.41,2644.81,MALE,CAUCASIAN,192039
2023,70,POLICE,2214-3,POLICE OFFICER III,FULL_TIME,ACTIVE,35898.92,1346.11,1330,38575.03,16818.64,5629.05,MALE,HISPANIC,192040
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,23602.59,3730.27,2030,29362.86,11057.81,5629.05,FEMALE,HISPANIC,192041
2023,42,HARBOR,1431-4,PROGRAMMER ANALYST IV,FULL_TIME,ACTIVE,36330.4,0,0,36330.4,10775.6,6485.08,MALE,ASIAN,192042
2023,68,CITY PLANNING,7214-1,GEOGRAPHIC INFORMATION SYSTEMS SUPERVISOR I,FULL_TIME,ACTIVE,35009.26,0,0,35009.26,10383.75,6579.72,MALE,HISPANIC,192043
2023,12,CITY ATTORNEY,0596-0,DEPUTY CITY ATTORNEY III,FULL_TIME,ACTIVE,59037.98,0,367.5,59405.48,17510.66,76.16,FEMALE,ASIAN,192044
2023,94,TRANSPORTATION,1461-3,COMMUNICATIONS INFORMATION REPRESENTATIVE III,FULL_TIME,ACTIVE,19619.21,0,159,19778.21,5819.06,3197.72,FEMALE,BLACK,192045
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,34005.88,0,0,34005.88,15931.75,6222.37,MALE,CAUCASIAN,192046
2023,70,POLICE,2223-2,POLICE DETECTIVE II,FULL_TIME,ACTIVE,39142.44,12522.03,2030,53694.47,18338.23,3484.46,FEMALE,HISPANIC,192047
2023,43,LOS ANGELES HOUSING,4243-0,HOUSING INSPECTOR,FULL_TIME,ACTIVE,32349.1,0,1275.04,33624.14,9594.74,6579.72,MALE,HISPANIC,192048
2023,12,CITY ATTORNEY,0596-0,DEPUTY CITY ATTORNEY III,FULL_TIME,ACTIVE,54421.1,0,0,54421.1,16141.3,4319.63,FEMALE,ASIAN,192049
2023,70,POLICE,2227-1,POLICE SERGEANT I,FULL_TIME,ACTIVE,39617.5,13796.25,1330,54743.75,18560.8,5134.78,MALE,HISPANIC,192050
2023,94,TRANSPORTATION,3214-2,TRAFFIC OFFICER II,FULL_TIME,ACTIVE,20454.68,8755.74,1717.96,30928.38,6066.86,6485.08,MALE,BLACK,192051
2023,88,RECREATION AND PARKS,2418-1,ASSISTANT PARK SERVICES ATTENDANT I,PART_TIME,ACTIVE,2964.69,0,0,2964.69,0,0,MALE,OTHER,192052
2023,82,PUBLIC WORKS - SANITATION,3580-2,REFUSE COLLECTION TRUCK OPERATOR II,FULL_TIME,ACTIVE,23460.8,1514.52,795,25770.32,6958.47,5656.42,MALE,HISPANIC,192053
2023,4,AIRPORTS,1742-0,HUMAN RESOURCES ASSISTANT,FULL_TIME,ACTIVE,25320.69,0,0,25320.69,7510.12,5613.02,FEMALE,HISPANIC,192054
2023,8,BUILDING AND SAFETY,1358-0,ADMINISTRATIVE CLERK,FULL_TIME,ACTIVE,15098.75,0,0,15098.75,4478.29,2178.33,FEMALE,OTHER,192055
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,21498.89,1079.74,112,22690.63,7255.89,3714.21,MALE,HISPANIC,192056
2023,70,POLICE,2214-3,POLICE OFFICER III,FULL_TIME,ACTIVE,34835.84,0,8114.16,42950,16320.59,5629.05,MALE,FILIPINO,192057
2023,44,LIBRARY,1785-2,PUBLIC RELATIONS SPECIALIST II,FULL_TIME,ACTIVE,25098.22,406.87,0,25505.09,7444.13,4319.63,FEMALE,CAUCASIAN,192058
2023,46,MAYOR,0145-0,MAYORAL AIDE V,FULL_TIME,ACTIVE,26550.1,0,0,26550.1,7874.76,5596.01,FEMALE,HISPANIC,192059
2023,8,BUILDING AND SAFETY,4262-0,SENIOR SAFETY ENGINEER PRESSURE VESSELS,FULL_TIME,ACTIVE,37903.19,0,2358,40261.19,11242.09,6579.72,MALE,FILIPINO,192060
2023,70,POLICE,2214-2,POLICE OFFICER II,FULL_TIME,ACTIVE,29851.01,21534.2,3566,54951.21,13985.2,6222.37,MALE,HISPANIC,192061
